home,away,homePoints,awayPoints,homeBlocks,homeDefensiveRebounds,homeSteals,homeTurnoverPoints,homeDisqualifications,homeFlagrantFouls,homeFouls,homeEjections,homeTechnicalFouls,homeRebounds,homeAssistTurnoverRatio,homeStealFoulRatio,homeBlockFoulRatio,homeTeamAssistTurnoverRatio,homeStealTurnoverRatio,homeGamesPlayed,homeGamesStarted,homeDoubleDouble,homeTripleDouble,homeAssists,homeFieldGoals,homeFieldGoalsAttempted,homeFieldGoalsMade,homeFieldGoalPct,homeFreeThrows,homeFreeThrowPct,homeFreeThrowsAttempted,homeFreeThrowsMade,homeOffensiveRebounds,homeTurnovers,homeThreePointFieldGoalsAttempted,homeThreePointFieldGoalsMade,homeTeamTurnovers,homePointsInPaint,homeFastBreakPoints,homeOffensiveReboundPct,homeEstimatedPossessions,homePointsPerEstimatedPossessions,homeThreePointFieldGoalPct,homeTwoPointFieldGoalsMade,homeTwoPointFieldGoalsAttempted,homeTwoPointFieldGoalPct,homeShootingEfficiency,homeScoringEfficiency,homeLargestLead,awayBlocks,awayDefensiveRebounds,awaySteals,awayTurnoverPoints,awayDisqualifications,awayFlagrantFouls,awayFouls,awayEjections,awayTechnicalFouls,awayRebounds,awayAssistTurnoverRatio,awayStealFoulRatio,awayBlockFoulRatio,awayTeamAssistTurnoverRatio,awayStealTurnoverRatio,awayGamesPlayed,awayGamesStarted,awayDoubleDouble,awayTripleDouble,awayAssists,awayFieldGoals,awayFieldGoalsAttempted,awayFieldGoalsMade,awayFieldGoalPct,awayFreeThrows,awayFreeThrowPct,awayFreeThrowsAttempted,awayFreeThrowsMade,awayOffensiveRebounds,awayTurnovers,awayThreePointFieldGoalsAttempted,awayThreePointFieldGoalsMade,awayTeamTurnovers,awayPointsInPaint,awayFastBreakPoints,awayOffensiveReboundPct,awayEstimatedPossessions,awayPointsPerEstimatedPossessions,awayThreePointFieldGoalPct,awayTwoPointFieldGoalsMade,awayTwoPointFieldGoalsAttempted,awayTwoPointFieldGoalPct,awayShootingEfficiency,awayScoringEfficiency,awayLargestLead
2,2453,70,44,11,34,7,0,0,0,15,0,0,50,1.3,0.46666667,0.73333335,0,0.7,1,0,0,0,13,0.362319,69,25,36.231884360313416,0.6875,68.75,16,11,16,10,25,9,0,0,0,0.36363637,69.4,1.0086455,36.000001430511475,16,44,36.36363744735718,0.42753622,1.0144928,30,6,30,7,0,1,0,17,0,0,40,0.3888889,0.4117647,0.3529412,1.75,0.3888889,1,0,0,0,7,0.295082,61,18,29.50819730758667,0.666667,66.66666865348816,3,2,10,18,25,6,4,0,0,0.23255815,74.2,0.59299195,23.999999463558197,12,36,33.33333432674408,0.3442623,0.72131145,0
2,93,71,58,11,34,6,7,0,0,18,0,0,48,0.9230769,0.33333334,0.6111111,0,0.46153846,1,0,0,0,12,0.421875,64,27,42.1875,0.75,75,12,9,14,13,25,8,0,0,0,0.3783784,67.8,1.0471976,31.999999284744263,19,39,48.71794879436493,0.484375,1.109375,21,1,24,10,17,1,0,13,0,0,33,0.6923077,0.7692308,0.07692308,0,0.7692308,1,0,0,0,9,0.339286,56,19,33.92857015132904,0.619048,61.90476417541504,21,13,9,13,18,7,0,0,0,0.24324325,68.4,0.8479532,38.88888955116272,12,38,31.578946113586426,0.4017857,1.0357143,5
333,2,77,81,7,31,6,0,1,0,18,0,0,42,1,0.33333334,0.3888889,0,0.5,1,0,0,0,12,0.348485,66,23,34.84848439693451,0.827586,82.75862336158752,29,24,11,12,31,7,0,0,0,0.25581396,78.6,0.97964376,22.580644488334656,16,35,45.71428596973419,0.40151516,1.1666666,3,11,34,9,0,1,0,24,0,0,44,0.84615386,0.375,0.45833334,11,0.6923077,1,0,0,0,11,0.447761,67,30,44.7761207818985,0.636364,63.63636255264282,22,14,10,13,26,7,1,0,0,0.27027026,79.8,1.0150375,26.923078298568726,23,41,56.09756112098694,0.5,1.2089552,14
2,57,85,73,9,30,9,0,1,0,21,0,0,39,0.9375,0.42857143,0.42857143,15,0.5625,1,0,0,0,15,0.535714,56,30,53.57142686843872,0.772727,77.27272510528564,22,17,9,16,18,8,1,0,0,0.34615386,72.8,1.1675824,44.44444477558136,22,38,57.894736528396606,0.60714287,1.5178572,13,5,20,12,0,0,0,18,0,0,31,1,0.6666667,0.2777778,0,1,1,0,0,0,12,0.413793,58,24,41.37931168079376,0.678571,67.85714030265808,28,19,11,12,22,6,0,0,0,0.32352942,70.2,1.0398861,27.272728085517883,18,36,50,0.46551725,1.2586207,3
2,99,70,55,14,32,10,0,0,0,20,0,0,43,0.52380955,0.5,0.7,0,0.47619048,1,0,0,0,11,0.433962,53,23,43.396225571632385,0.653846,65.38461446762085,26,17,11,21,23,7,0,0,0,0.36666667,73.4,0.9536784,30.434781312942505,16,30,53.33333611488342,0.5,1.3207548,17,2,22,9,0,2,0,21,0,0,37,0.23529412,0.42857143,0.0952381,0,0.5294118,1,0,0,0,4,0.285714,63,18,28.57142984867096,0.65,64.99999761581421,20,13,15,17,29,6,0,0,0,0.33333334,73,0.75342464,20.68965584039688,12,34,35.29411852359772,0.33333334,0.8730159,1
2579,2,66,81,3,21,6,0,0,0,20,0,0,32,0.8,0.3,0.15,8,0.3,1,0,0,0,16,0.413793,58,24,41.37931168079376,0.615385,61.538463830947876,13,8,11,20,24,10,2,0,0,0.32352942,74.2,0.8894879,41.66666567325592,14,34,41.17647111415863,0.5,1.137931,4,7,25,9,0,0,0,15,0,0,34,0.875,0.6,0.46666667,0,0.5625,1,0,0,0,14,0.517857,56,29,51.78571343421936,0.73913,73.9130437374115,23,17,9,16,14,6,0,0,0,0.33333334,72.2,1.1218837,42.85714328289032,23,42,54.76190447807312,0.5714286,1.4464285,21
145,2,71,80,1,22,3,0,0,0,10,0,0,32,1,0.3,0.1,14,0.21428572,1,0,0,0,14,0.444444,54,24,44.44444477558136,1,100,15,15,10,14,22,8,1,0,0,0.33333334,65,1.0923077,36.36363744735718,16,32,50,0.5185185,1.3148148,14,9,20,10,0,0,0,15,0,0,27,3,0.6666667,0.6,0,1.6666666,1,0,0,0,18,0.5,58,29,50,0.875,87.5,16,14,7,6,25,8,0,0,0,0.2413793,63.4,1.2618296,31.999999284744263,21,33,63.63636255264282,0.5689655,1.3793104,11
2,96,80,71,5,21,2,0,0,0,12,0,0,27,1.25,0.16666667,0.41666666,7.5,0.16666667,1,0,0,0,15,0.568182,44,25,56.81818127632141,0.827586,82.75862336158752,29,24,6,12,16,6,2,0,0,0.31578946,63.6,1.2578616,37.5,19,28,67.85714030265808,0.6363636,1.8181819,12,6,16,8,0,1,0,20,0,0,26,1.3333334,0.4,0.3,4,0.8888889,1,0,0,0,12,0.5,58,29,50,0.8,80.0000011920929,10,8,10,9,12,5,3,0,0,0.3448276,64,1.109375,41.66666567325592,24,46,52.173912525177,0.54310346,1.2241379,10
2,61,83,60,10,25,11,0,0,0,18,0,0,41,2.5,0.6111111,0.5555556,0,1.375,1,0,0,0,20,0.458333,72,33,45.83333432674408,0.777778,77.77777910232544,9,7,16,8,36,10,0,0,0,0.41025642,67.6,1.2278106,27.77777910232544,23,36,63.88888955116272,0.5277778,1.1527778,26,2,23,4,0,0,0,12,0,0,31,0.6111111,0.33333334,0.16666667,11,0.22222222,1,0,0,0,11,0.42,50,21,41.999998688697815,0.722222,72.22222089767456,18,13,8,18,13,5,1,0,0,0.27586207,68.2,0.87976545,38.46153914928436,16,37,43.24324429035187,0.47,1.2,2
142,2,54,55,5,28,6,0,0,0,17,0,0,38,0.6923077,0.3529412,0.29411766,9,0.46153846,1,0,0,0,9,0.384615,52,20,38.46153914928436,0.75,75,12,9,10,13,17,5,1,0,0,0.3125,60.8,0.8881579,29.411765933036804,15,35,42.85714328289032,0.43269232,1.0384616,10,6,23,6,0,0,0,14,0,0,47,0.8,0.42857143,0.42857143,0,0.6,1,0,0,0,8,0.304348,69,21,30.434781312942505,0.636364,63.63636255264282,11,7,24,10,27,6,0,0,0,0.5,59.4,0.9259259,22.22222238779068,15,42,35.71428656578064,0.3478261,0.79710144,4
