id,name
2378,UMBC Retrievers
2379,Maryland-Eastern Shore Hawks
2382,Mercer Bears
2390,Miami Hurricanes
2393,Middle Tennessee Blue Raiders
2400,Mississippi Valley State Delta Devils
2405,Monmouth Hawks
2413,Morehead State Eagles
2415,Morgan State Bears
2426,Navy Midshipmen
2427,UNC Asheville Bulldogs
2428,North Carolina Central Eagles
2429,Charlotte 49ers
2430,UNC Greensboro Spartans
2433,UL Monroe Warhawks
2437,Omaha Mavericks
2439,UNLV Rebels
2440,Nevada Wolf Pack
2443,New Orleans Privateers
2447,Nicholls Colonels
2448,North Carolina A&T Aggies
2449,North Dakota State Bison
2450,Norfolk State Spartans
2453,North Alabama Lions
2454,North Florida Ospreys
2458,Northern Colorado Bears
2459,Northern Illinois Huskies
2460,Northern Iowa Panthers
2463,Cal State Northridge Matadors
2464,Northern Arizona Lumberjacks
2466,Northwestern State Demons
2473,Oakland Golden Grizzlies
2483,Oregon Ducks
2492,Pepperdine Waves
2501,Portland Pilots
2502,Portland State Vikings
2504,Prairie View A&M Panthers
2506,Presbyterian Blue Hose
2507,Providence Friars
2509,Purdue Boilermakers
2514,Quinnipiac Bobcats
2515,Radford Highlanders
2520,Rider Broncs
2523,Robert Morris Colonials
2529,Sacred Heart Pioneers
2534,Sam Houston Bearkats
2535,Samford Bulldogs
2539,San Francisco Dons
2540,UC Santa Barbara Gauchos
2541,Santa Clara Broncos
2545,SE Louisiana Lions
2546,Southeast Missouri State Redhawks
2547,Seattle U Redhawks
2550,Seton Hall Pirates
2561,Siena Saints
2565,SIU Edwardsville Cougars
2567,SMU Mustangs
2569,South Carolina State Bulldogs
2571,South Dakota State Jackrabbits
2572,Southern Miss Golden Eagles
2579,South Carolina Gamecocks
2582,Southern Jaguars
2597,St. Francis Brooklyn Terriers
2598,St. Francis (PA) Red Flash
2599,St. John's Red Storm
2603,Saint Joseph's Hawks
2608,Saint Mary's Gaels
2612,Saint Peter's Peacocks
2617,Stephen F. Austin Lumberjacks
2619,Stony Brook Seawolves
2623,Missouri State Bears
2627,Tarleton Texans
2628,TCU Horned Frogs
2630,UT Martin Skyhawks
2633,Tennessee Volunteers
2634,Tennessee State Tigers
2635,Tennessee Tech Golden Eagles
2636,UTSA Roadrunners
2638,UTEP Miners
2640,Texas Southern Tigers
2641,Texas Tech Red Raiders
2643,The Citadel Bulldogs
2649,Toledo Rockets
2653,Troy Trojans
2655,Tulane Green Wave
2670,VCU Rams
2674,Valparaiso Beacons
2678,VMI Keydets
2681,Wagner Seahawks
2692,Weber State Wildcats
2710,Western Illinois Leathernecks
2711,Western Michigan Broncos
2717,Western Carolina Catamounts
2724,Wichita State Shockers
2729,William & Mary Tribe
2737,Winthrop Eagles
2739,Green Bay Phoenix
2747,Wofford Terriers
2750,Wright State Raiders
2751,Wyoming Cowboys
2752,Xavier Musketeers
2754,Youngstown State Penguins
2755,Grambling Tigers
2771,Merrimack Warriors
2803,Bryant Bulldogs
2856,California Baptist Lancers
2870,Purdue Fort Wayne Mastodons
2885,NJIT Highlanders
2900,St. Thomas - Minnesota Tommies
2908,South Carolina Upstate Spartans
2916,Incarnate Word Cardinals
2934,Cal State Bakersfield Roadrunners
3084,Utah Valley Wolverines
3101,Utah Tech Trailblazers
112358,Long Island University Sharks
