id,home,away
401371833,2,2433
401371764,2,41
401371834,58,2
401371832,2,2413
401371120,2,43
401389430,2350,2
401382755,2,183
401371835,2,2116
401371836,2,158
401365753,139,2
401371837,2,2453
401371838,2,93
401364861,333,2
401364855,2,57
401364842,2,99
401364845,2579,2
401364868,145,2
401364884,2,96
401364878,2,61
401364887,142,2
401364897,2,201
401364905,2,333
401364910,61,2
401364925,2,245
401364917,8,2
401372820,5,2413
401371885,2579,5
401372819,5,2427
401372821,5,2519
401372822,5,2010
401372406,167,5
401372823,5,2193
401377119,5,2539
401371781,139,5
401372824,5,2398
401372825,5,2755
401372323,5,277
401372826,5,2400
401372827,5,2638
401372768,249,5
401372828,5,2636
401372794,242,5
401372829,5,2229
401372714,2348,5
401372692,5,2226
401372830,98,5
401372737,276,5
401372762,5,2393
401372815,5,2572
401372786,295,5
401371951,2724,6
401383796,6,2920
401371820,333,6
401383795,6,2590
401383797,6,2730
401383798,6,2837
401377117,6,62
401374298,301,6
401372807,6,2572
401378846,2627,6
401369187,55,6
401378845,6,2627
401373276,6,2565
401367426,250,6
401367432,326,6
401367434,6,2026
401367447,6,2247
401367441,6,324
401367454,6,290
401367460,309,6
401367466,2433,6
401367474,6,2653
401367480,2653,6
401367485,290,6
401367490,2247,6
401371824,8,2382
401369821,2306,8
401371826,8,2460
401371825,8,2241
401377085,8,2132
401371107,8,219
401369178,8,2110
401371827,8,2031
401371828,8,2429
401371830,8,2275
401371829,201,8
401371831,8,2210
401364843,344,8
401364847,8,238
401364851,245,8
401364864,8,142
401364869,99,8
401364873,8,2579
401364883,8,245
401364890,145,8
401364896,8,277
401364907,61,8
401364915,8,344
401364928,333,8
401371192,9,2501
401369147,9,2454
401373626,9,27
401372470,21,9
401373870,239,9
401389451,183,9
401382756,2350,9
401370904,9,265
401370909,2483,9
401371413,9,2253
401371967,156,9
401371174,9,2539
401373137,9,50
401377391,30,9
401377392,26,9
401398909,25,9
401400990,26,9
401377401,9,12
401377409,9,254
401377416,9,38
401405168,9,254
401377428,24,9
401405169,30,9
401377435,12,9
401377442,9,30
401372548,12,2464
401365596,12,2449
401370150,12,2724
401371361,12,292
401377059,12,130
401372607,12,16
401370906,12,264
401370908,204,12
401372590,12,2458
401372550,12,2751
401372112,356,12
401377395,30,12
401377369,26,12
401371430,12,2856
401371901,2633,12
401390830,12,264
401377411,12,38
401377415,12,254
401377422,24,12
