homePoints,awayPoints,homeBlocks,homeDefensiveRebounds,homeSteals,homeTurnoverPoints,homeDisqualifications,homeFlagrantFouls,homeFouls,homeEjections,homeTechnicalFouls,homeRebounds,homeAssistTurnoverRatio,homeStealFoulRatio,homeBlockFoulRatio,homeTeamAssistTurnoverRatio,homeStealTurnoverRatio,homeGamesPlayed,homeGamesStarted,homeDoubleDouble,homeTripleDouble,homeAssists,homeFieldGoals,homeFieldGoalsAttempted,homeFieldGoalsMade,homeFieldGoalPct,homeFreeThrows,homeFreeThrowPct,homeFreeThrowsAttempted,homeFreeThrowsMade,homeOffensiveRebounds,homeTurnovers,homeThreePointFieldGoalsAttempted,homeThreePointFieldGoalsMade,homeTeamTurnovers,homePointsInPaint,homeFastBreakPoints,homeOffensiveReboundPct,homeEstimatedPossessions,homePointsPerEstimatedPossessions,homeThreePointFieldGoalPct,homeTwoPointFieldGoalsMade,homeTwoPointFieldGoalsAttempted,homeTwoPointFieldGoalPct,homeShootingEfficiency,homeScoringEfficiency,awayBlocks,awayDefensiveRebounds,awaySteals,awayTurnoverPoints,awayDisqualifications,awayFlagrantFouls,awayFouls,awayEjections,awayTechnicalFouls,awayRebounds,awayAssistTurnoverRatio,awayStealFoulRatio,awayBlockFoulRatio,awayTeamAssistTurnoverRatio,awayStealTurnoverRatio,awayGamesPlayed,awayGamesStarted,awayDoubleDouble,awayTripleDouble,awayAssists,awayFieldGoals,awayFieldGoalsAttempted,awayFieldGoalsMade,awayFieldGoalPct,awayFreeThrows,awayFreeThrowPct,awayFreeThrowsAttempted,awayFreeThrowsMade,awayOffensiveRebounds,awayTurnovers,awayThreePointFieldGoalsAttempted,awayThreePointFieldGoalsMade,awayTeamTurnovers,awayPointsInPaint,awayFastBreakPoints,awayOffensiveReboundPct,awayEstimatedPossessions,awayPointsPerEstimatedPossessions,awayThreePointFieldGoalPct,awayTwoPointFieldGoalsMade,awayTwoPointFieldGoalsAttempted,awayTwoPointFieldGoalPct,awayShootingEfficiency,awayScoringEfficiency
82,76,1,25,8,19,0,0,20,0,0,35,0.7222222,0.4,0.05,13,0.44444445,1,0,0,0,13,0.5,54,27,50,0.8,80.0000011920929,25,20,10,18,21,8,1,0,0,0.37037036,73,1.1232877,38.0952388048172,19,33,57.575756311416626,0.5740741,1.5185186,3,18,8,18,1,0,23,0,0,27,0.75,0.3478261,0.13043478,0,0.5,1,0,0,0,12,0.481481,54,26,48.148149251937866,0.727273,72.72727489471436,22,16,9,16,22,8,0,0,0,0.32142857,69.8,1.0888252,36.36363744735718,18,32,56.25,0.5555556,1.4074074
96,61,2,28,12,27,0,0,15,0,0,44,1.4166666,0.8,0.13333334,17,1,1,0,0,0,17,0.513889,72,37,51.38888955116272,0.65,64.99999761581421,20,13,16,12,22,9,1,50,16,0.45714286,77,1.2467532,40.909090638160706,28,50,56.00000023841858,0.5763889,1.3333334,6,22,6,14,0,0,17,0,0,30,0.5,0.3529412,0.3529412,0,0.27272728,1,0,0,0,11,0.403509,57,23,40.35087823867798,0.615385,61.538463830947876,13,8,8,22,19,7,0,30,5,0.23529412,76.2,0.80052495,36.84210479259491,16,38,42.105263471603394,0.4649123,1.0701754
59,64,3,27,7,10,0,0,12,0,0,40,0.85714287,0.5833333,0.25,0,0.5,1,0,0,0,12,0.396552,58,23,39.65517282485962,0.6,60.00000238418579,15,9,13,14,14,4,0,30,5,0.37142858,65,0.9076923,28.57142984867096,19,44,43.18181872367859,0.43103448,1.0172414,5,24,13,14,0,0,12,0,0,32,1.3333334,1.0833334,0.41666666,0,1.0833334,1,0,0,0,16,0.440678,59,26,44.06779706478119,0.666667,66.66666865348816,9,6,8,12,24,6,0,40,2,0.24242425,66.6,0.960961,25,20,35,57.14285969734192,0.4915254,1.0847458
76,69,4,26,9,13,0,0,17,0,0,36,1.3333334,0.5294118,0.23529412,0,1,1,0,0,0,12,0.424242,66,28,42.424243688583374,0.75,75,20,15,10,9,19,5,0,36,13,0.2631579,73,1.0410959,26.31579041481018,23,47,48.93617033958435,0.46212122,1.1515151,2,32,7,6,0,0,16,0,0,46,1.3636364,0.4375,0.125,0,0.6363636,1,0,0,0,15,0.369231,65,24,36.92307770252228,0.75,75,20,15,14,11,20,6,0,32,10,0.34146342,70,0.98571426,30.000001192092896,18,45,40.00000059604645,0.41538462,1.0615385
68,67,6,27,7,15,1,0,20,0,0,48,0.36842105,0.35,0.3,3.5,0.36842105,1,0,0,0,7,0.344828,58,20,34.48275923728943,0.961538,96.15384340286255,26,25,21,19,14,3,2,30,19,0.55263156,68.4,0.994152,21.42857164144516,17,44,38.63636255264282,0.37068966,1.1724138,9,17,11,20,1,0,21,0,0,34,1.1111112,0.52380955,0.42857143,0,1.2222222,1,0,0,0,10,0.354839,62,22,35.48386991024017,0.730769,73.07692170143127,26,19,17,9,22,4,0,24,4,0.425,64.4,1.0403726,18.18181872367859,18,40,44.999998807907104,0.38709676,1.0806452
68,63,5,22,8,17,0,0,13,0,0,34,0.8333333,0.61538464,0.3846154,10,0.6666667,1,0,0,0,10,0.44,50,22,43.99999976158142,0.653846,65.38461446762085,26,17,12,12,16,7,1,22,22,0.42857143,61.4,1.1074919,43.75,15,34,44.11764740943909,0.51,1.36,5,19,1,10,1,0,20,0,0,28,0.93333334,0.05,0.25,14,0.06666667,1,0,0,0,14,0.423077,52,22,42.307692766189575,0.833333,83.33333134651184,12,10,9,15,16,9,1,24,16,0.3,63.8,0.98746085,56.25,13,36,36.11111044883728,0.50961536,1.2115384
63,45,0,35,5,9,0,0,18,0,0,48,0.75,0.2777778,0,7.5,0.25,1,0,0,0,15,0.45283,53,24,45.28301954269409,0.769231,76.92307829856873,13,10,13,20,10,5,2,32,11,0.44827586,67.2,0.93750006,50,19,43,44.186046719551086,0.5,1.1886792,0,18,9,12,0,0,19,0,0,26,0.8,0.47368422,0,0,0.9,1,0,0,0,8,0.285714,56,16,28.57142984867096,0.5,50,16,8,8,10,20,5,0,18,7,0.2,64.4,0.69875777,25,11,36,30.55555522441864,0.33035713,0.8035714
53,77,9,27,7,3,0,0,11,0,0,37,0.35,0.6363636,0.8181818,0,0.35,1,0,0,0,7,0.351852,54,19,35.18518507480621,0.625,62.5,16,10,10,20,17,5,0,22,6,0.2857143,70.4,0.7528409,29.411765933036804,14,37,37.837839126586914,0.39814815,0.9814815,4,28,10,24,0,0,18,0,0,43,1.5,0.5555556,0.22222222,0,0.8333333,1,0,0,0,18,0.444444,72,32,44.44444477558136,0.714286,71.42857313156128,7,5,15,12,24,8,0,42,15,0.375,71.8,1.0724233,33.33333432674408,24,48,50,0.5,1.0694444
72,61,5,27,4,13,0,0,20,0,0,34,1.1818181,0.2,0.25,0,0.36363637,1,0,0,0,13,0.489362,47,23,48.93617033958435,0.857143,85.71428656578064,21,18,7,11,18,8,0,26,5,0.29166666,59.4,1.2121211,44.44444477558136,15,29,51.724135875701904,0.5744681,1.531915,5,18,7,8,0,0,18,0,0,28,1.125,0.3888889,0.2777778,9,0.875,1,0,0,0,9,0.415094,53,22,41.50943458080292,0.521739,52.173912525177,23,12,10,8,13,5,1,26,10,0.32258064,61.2,0.996732,38.46153914928436,17,40,42.500001192092896,0.46226415,1.1509434
90,92,5,35,4,11,0,0,19,0,0,48,0.64705884,0.21052632,0.2631579,0,0.23529412,1,0,0,0,11,0.455882,68,31,45.588234066963196,0.678571,67.85714030265808,28,19,13,17,21,9,0,44,13,0.35135135,83.2,1.0817308,42.85714328289032,22,47,46.80851101875305,0.52205884,1.3235294,4,28,12,21,2,0,30,0,0,40,1.5,0.4,0.13333334,0,1,1,0,0,0,18,0.402597,77,31,40.25973975658417,0.863636,86.36363744735718,22,19,12,12,30,11,0,36,12,0.26086956,85.8,1.072261,36.666667461395264,20,47,42.553192377090454,0.47402596,1.1948051
57,75,5,22,2,8,0,0,15,0,0,31,0.61904764,0.13333334,0.33333334,1.1818181,0.0952381,1,0,0,0,13,0.355932,59,21,35.593220591545105,0.5625,56.25,16,9,9,21,21,6,11,0,0,0.23684211,88.4,0.6447964,28.57142984867096,15,38,39.47368562221527,0.40677965,0.9661017,5,32,5,14,0,0,16,0,0,43,1.75,0.3125,0.3125,0,0.625,1,0,0,0,14,0.459016,61,28,45.90163826942444,0.727273,72.72727489471436,22,16,11,8,11,3,0,46,4,0.33333334,66.8,1.1227545,27.272728085517883,25,50,50,0.48360655,1.2295082
66,80,3,24,7,10,1,0,21,0,0,30,0.5555556,0.33333334,0.14285715,0,0.3888889,1,0,0,0,10,0.470588,51,24,47.05882370471954,0.583333,58.33333134651184,24,14,6,18,14,4,0,36,5,0.22222222,72.6,0.90909094,28.57142984867096,20,37,54.054051637649536,0.50980395,1.2941177,1,26,8,20,1,0,24,0,0,32,0.85714287,0.33333334,0.041666668,0,0.5714286,1,0,0,0,12,0.509091,55,28,50.90909004211426,0.65,64.99999761581421,20,13,6,14,23,11,0,32,9,0.22222222,71,1.1267606,47.826087474823,17,32,53.125,0.6090909,1.4545455
99,36,6,38,10,34,0,0,15,0,0,53,2.5555556,0.6666667,0.4,0,1.1111112,1,0,0,0,23,0.5,68,34,50,0.913043,91.30434989929199,23,21,15,9,26,10,0,0,0,0.44117647,71.2,1.3904495,38.46153914928436,24,42,57.14285969734192,0.5735294,1.4558823,6,20,5,5,1,0,20,0,0,31,0.4,0.25,0.3,0,0.25,1,0,0,0,8,0.216667,60,13,21.666666865348816,0.777778,77.77777910232544,9,7,11,20,21,3,0,0,0,0.23404256,72.6,0.4958678,14.28571492433548,10,39,25.641027092933655,0.24166666,0.6
89,57,5,29,11,25,0,0,11,0,0,39,2.25,1,0.45454547,0,1.375,1,0,0,0,18,0.523077,65,34,52.307695150375366,0.772727,77.27272510528564,22,17,10,8,16,4,0,58,26,0.32258064,71.8,1.2395543,25,30,49,61.22449040412903,0.5538462,1.3692307,2,23,4,4,1,0,22,0,0,27,0.7058824,0.18181819,0.09090909,12,0.23529412,1,0,0,0,12,0.410714,56,23,41.07142984867096,0.666667,66.66666865348816,6,4,4,17,22,7,1,32,4,0.121212125,72.4,0.7872928,31.81818127632141,16,34,47.05882370471954,0.4732143,1.0178572
58,74,2,14,4,13,0,0,14,0,0,24,0.6,0.2857143,0.14285715,0,0.26666668,1,0,0,0,9,0.425532,47,20,42.553192377090454,0.684211,68.42105388641357,19,13,10,15,17,5,0,30,3,0.37037036,59.6,0.97315437,29.411765933036804,15,30,50,0.4787234,1.2340425,3,19,8,19,1,0,25,0,0,31,0.41666666,0.32,0.12,2.5,0.6666667,1,0,0,0,5,0.555556,54,30,55.55555820465088,0.615385,61.538463830947876,13,8,12,12,15,6,2,40,4,0.5,61.2,1.2091503,40.00000059604645,24,39,61.538463830947876,0.6111111,1.3703704
66,55,4,24,8,12,0,0,19,0,0,28,1.2142857,0.42105263,0.21052632,0,0.5714286,1,0,0,0,17,0.534884,43,23,53.48837375640869,0.666667,66.66666865348816,21,14,4,14,9,6,0,28,5,0.2,61.4,1.0749185,66.66666865348816,17,34,50,0.60465115,1.5348837,1,20,6,10,0,0,18,0,0,25,1.1538461,0.33333334,0.055555556,15,0.46153846,1,0,0,0,15,0.416667,48,20,41.66666567325592,0.785714,78.57142686843872,14,11,5,13,15,4,1,30,5,0.17857143,62.6,0.8785943,26.66666805744171,16,33,48.48484992980957,0.45833334,1.1458334
94,32,4,29,20,35,0,0,16,0,0,37,1.8333334,1.25,0.25,0,1.6666666,1,0,0,0,22,0.612903,62,38,61.29032373428345,0.5,50,14,7,8,12,21,11,0,0,0,0.33333334,71.6,1.3128492,52.3809552192688,27,41,65.85366129875183,0.7016129,1.516129,1,22,5,12,0,0,12,0,0,27,0.21428572,0.41666666,0.083333336,6,0.17857143,1,0,0,0,6,0.214286,42,9,21.42857164144516,0.705882,70.58823704719543,17,12,5,28,22,2,1,0,0,0.15151516,72.8,0.4395604,9.090909361839294,7,20,34.99999940395355,0.23809524,0.7619048
70,62,6,25,6,8,1,0,14,0,0,29,2.6666667,0.42857143,0.42857143,0,1,1,0,0,0,16,0.478261,46,22,47.826087474823,0.72,72.00000286102295,25,18,4,6,15,8,0,24,4,0.16666667,58,1.2068965,53.33333611488342,14,31,45.16128897666931,0.5652174,1.5217391,5,25,3,8,1,0,19,0,0,34,1.5,0.15789473,0.2631579,0,0.3,1,0,0,0,15,0.431034,58,25,43.10344755649567,0.571429,57.14285969734192,7,4,9,10,22,8,0,30,5,0.27272728,61.8,1.0032363,36.36363744735718,17,36,47.22222089767456,0.5,1.0689656
64,55,1,21,9,17,0,0,20,0,0,30,1,0.45,0.05,12,0.75,1,0,0,0,12,0.464286,56,26,46.42857015132904,0.416667,41.66666567325592,12,5,9,12,17,7,1,36,11,0.3,64.8,0.98765427,41.17647111415863,19,39,48.71794879436493,0.52678573,1.1428572,6,26,4,10,0,0,13,0,0,38,0.5,0.30769232,0.46153846,9,0.22222222,1,0,0,0,9,0.408163,49,20,40.816327929496765,0.684211,68.42105388641357,19,13,12,18,12,2,1,34,2,0.41379312,63.6,0.8647799,16.66666716337204,18,37,48.64864945411682,0.42857143,1.1224489
